2009 Audi A4 Sedan 3.2,Automatic transmission,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6 Speed Automatic Select Shift,17,Gasoline,26
2012 Acura TL SH-AWD,Automatic transmission,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,6 Speed Automatic Select Shift,18,Gasoline,26
2010 BMW X5 M SUV,Automatic transmission,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,12,Gasoline,17
2011 BMW X5 M SUV,Automatic transmission,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,12,Gasoline,17
2010 BMW X6 M,Automatic transmission,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,12,Gasoline,17
2011 BMW X6 M,Automatic transmission,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,6 Speed Automatic Select Shift,12,Gasoline,17
2010 Volvo S40 R-Design AWD,Manual transmission,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,6 Speed Manual,20,Gasoline,27
2012 Volvo S60 T6 AWD,Automatic transmission,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic Select Shift,18,Gasoline,26
2012 Volvo S60 R-Design,Automatic transmission,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,6 Speed Automatic Select Shift,18,Gasoline,26
2011 Volvo S60 T6 AWD,Automatic transmission,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic,18,Gasoline,26
2010 Volvo XC70 3.2,Automatic transmission,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,6 Speed Automatic,16,Gasoline,22
2011 Volvo XC90 V8,Automatic transmission,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6 Speed Automatic,14,Gasoline,21
2010 Volvo XC90 V8,Automatic transmission,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,6 Speed Automatic,13,Gasoline,19
2012 Audi A4 Sedan 2.0 T Quattro,Manual transmission,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Manual,21,Gasoline,31
2012 Audi A4 Sedan 2.0 T Quattro AT,Automatic transmission,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,8 Speed Automatic Select Shift,21,Gasoline,29
2010 Volvo S40 R-Design AT AWD,Automatic transmission,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,20,Gasoline,27
2012 Audi A4 Avant 2.0 T,Automatic transmission,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,8 Speed Automatic Select Shift,21,Gasoline,29
2011 Audi A4 Avant 2.0 T,Automatic transmission,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,8 Speed Automatic Select Shift,21,Gasoline,29
2010 Audi A4 Avant 2.0 T,Automatic transmission,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6 Speed Automatic Select Shift,23,Gasoline,30
2012 Volvo S80 T6 AWD,Automatic transmission,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic Select Shift,18,Gasoline,26
2012 Volvo XC60 T6 AWD R-Design,Automatic transmission,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,6 Speed Automatic Select Shift,17,Gasoline,23
2012 Volvo XC60 T6 AWD,Automatic transmission,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic Select Shift,17,Gasoline,23
2012 Volvo XC70 T6 AWD,Automatic transmission,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic Select Shift,17,Gasoline,23
2010 Volvo XC60 T6 R-Design,Automatic transmission,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,6 Speed Automatic,16,Gasoline,21
2011 Volvo XC60 T6 R-Design,Automatic transmission,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,6 Speed Automatic,17,Gasoline,22
2010 Volvo V50 R-Design AT,Automatic transmission,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,5 Speed Automatic,20,Gasoline,26
2012 Bentley Continental GT,Automatic transmission,Bentley 6.0L 12 Cylinder 567 hp 516 ft-lbs FFV,6 Speed Automatic Select Shift,8,E85,14
2010 Bentley Continental GT,Automatic transmission,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,6 Speed Automatic,10,Gasoline,17
2010 Bentley Continental GT Speed,Automatic transmission,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,6 Speed Automatic,10,Gasoline,17
2011 Bentley Continental GTC Speed,Automatic transmission,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,6 Speed Automatic,11,Gasoline,18
2010 Bentley Continental GTC Speed,Automatic transmission,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,6 Speed Automatic,10,Gasoline,17
2010 Bentley Continental GTC,Automatic transmission,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,6 Speed Automatic,10,Gasoline,17
2011 Audi A5 Cabriolet 2.0 T Quattro,Automatic transmission,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,8 Speed Automatic Select Shift,21,Gasoline,29
2012 Audi A6 Sedan 3.0 T,Automatic transmission,Audi 3.0L 6 Cylinder 310 hp 325 ft-lbs,8 Speed Automatic Select Shift,19,Gasoline,28
2011 Audi A6 Sedan 3.0 T,Automatic transmission,Audi 3.0L 6 Cylinder 300 hp 310 ft-lbs,6 Speed Automatic Select Shift,18,Gasoline,26
2011 Toyota Matrix S AT AWD,Automatic transmission,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,4 Speed Automatic,20,Gasoline,26
2010 Toyota Matrix S AT AWD,Automatic transmission,Toyota 2.4L 4 Cylinder 158 hp 162 ft-lbs.,4 Speed Automatic,20,Gasoline,26
2012 Audi Q7 3.0 T S Line,Automatic transmission,Audi 3.0L 6 Cylinder 333 hp 325 ft-lbs S-charged,8 Speed Automatic Select Shift,16,Gasoline,22
2012 Audi Q7 3.0 T,Automatic transmission,Audi 3.0L 6 Cylinder 280 hp 295 ft-lbs S-charged,8 Speed Automatic Select Shift,16,Gasoline,22
2012 Audi Q7 3.0 TDI,Automatic transmission,Audi 3.0L 6 Cylinder 225 hp 406 ft-lbs Turbo Diesel,8 Speed Automatic Select Shift,17,Diesel fuel,25
2010 Lexus LS 460 AWD,Automatic transmission,Lexus 4.6L 8 Cylinder 357hp 344ft-lbs,8 Speed Automatic Select Shift,16,Gasoline,23
2010 Lexus LS 460 L AWD,Automatic transmission,Lexus 4.6L 8 Cylinder 357hp 344ft-lbs,8 Speed Automatic Select Shift,16,Gasoline,23
2011 Lexus LS 460 AWD,Automatic transmission,Lexus 4.6L 8 Cylinder 357hp 344ft-lbs,8 Speed Automatic Select Shift,16,Gasoline,23
2011 Lexus LS 460 L AWD,Automatic transmission,Lexus 4.6L 8 Cylinder 357hp 344ft-lbs,8 Speed Automatic Select Shift,16,Gasoline,23
2011 Audi Q7 3.0 T S Line,Automatic transmission,Audi 3.0L 6 Cylinder 333 hp 325 ft-lbs S-charged,8 Speed Automatic Select Shift,16,Gasoline,22
2011 Audi Q7 3.0 T,Automatic transmission,Audi 3.0L 6 Cylinder 272 hp 295 ft-lbs S-charged,8 Speed Automatic Select Shift,16,Gasoline,22
2011 Audi Q7 3.0 TDI,Automatic transmission,Audi 3.0L 6 Cylinder 225 hp 406 ft-lbs Turbo Diesel,8 Speed Automatic Select Shift,17,Diesel fuel,25
2010 Audi Q7 3.6,Automatic transmission,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,6 Speed Automatic Select Shift,14,Gasoline,19
2010 Audi Q7 3.0 TDI,Automatic transmission,Audi 3.0L 6 Cylinder 225 hp 406 ft-lbs Turbo Diesel,6 Speed Automatic Select Shift,17,Diesel fuel,25
2010 Audi Q7 4.2,Automatic transmission,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,6 Speed Automatic Select Shift,13,Gasoline,18
2010 Mercedes-Benz C300 Sport 4MATIC,Automatic transmission,Mercedes-Benz 3.0L 6 Cylinders 228 hp 221 ft-lbs FFV,7 Speed Automatic Select Shift,13,E85,19
2012 Ford Fusion V6 SEL AWD,Automatic transmission,Ford 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,6 Speed Automatic Select Shift,13,E85,19
2012 Ford Fusion Sport AWD,Automatic transmission,Ford 3.5L 6 Cylinder 263 hp 249 ft-lbs,6 Speed Automatic Select Shift,17,Gasoline,25
2011 Volkswagen CC VR6 4Motion Executive,Automatic transmission,Volkswagen 3.6L 6 Cylinder 280 hp 265 ft-lbs,6 Speed Automatic,22,Gasoline,31
2011 Ford Fusion V6 SEL AWD,Automatic transmission,Ford 3.0L 6 Cylinder 240 hp 228 ft-lbs FFV,6 Speed Automatic,13,E85,19
2011 Ford Fusion Sport AWD,Automatic transmission,Ford 3.5L 6 Cylinder 263 hp 249 ft-lbs,6 Speed Automatic,17,Gasoline,24
2010 Ford Fusion V6 SEL AWD,Automatic transmission,Ford 3.0L 6 Cylinder 240 hp 228 ft-lbs FFV,6 Speed Automatic Select Shift,13,E85,18
